employee_id,first_name,last_name,email_address,username,employment_date
1201,Oluwabusayo,Udogu,oluwabusayo.udogu@gmail.com,OLUUGO123,2015-10-02
1202,Alvin,Daniel,alvin.daniel@gmail.com,ALVDA521,2014-03-02
1203,Oluwafeyi,Udogu,oluwafeyi.udogu@gmail.com,OLUFE345,2015-05-09
1204,Grant,James,grant.james@gmail.com,GRJA864,2015-10-02
1205,Joseph,Ayodeji,joseph.ayodeji@gmail.com,JOAY431,2016-06-02
1206,Ruth,Paul,ruth.paul@gmail.com,RUPA247,2018-10-10
1207,Femi,Idowu,femi.idowu@gmail.com,FEID532,2015-03-02
1208,Ojay,Shaun,ojay.shaun@gmail.com,SHAOJ894,2015-09-02
1209,Helen,George,helen.george@gmail.com,HEGEO643,2015-10-02
1210,Dune,Drake,dune.drake@gmail.com,DUDRA945,2017-07-04
